year,country,continent,co2,co2_per_capita
1960,Australia,Oceania,250.0,5.0
1961,,,255.0,5.045
1962,,,260.0,5.09
1963,,,265.0,5.135
1964,,,270.0,5.18
1965,,,275.0,5.225
1966,,,280.0,5.2700000000000005
1967,,,285.0,5.315
1968,,,290.0,5.36
1969,,,295.0,5.405
1970,Australia,Oceania,300.0,5.45
1971,,,305.0,5.488
1972,,,310.0,5.526
1973,,,315.0,5.564
1974,,,320.0,5.602
1975,,,325.0,5.640000000000001
1976,,,330.0,5.678
1977,,,335.0,5.716
1978,,,340.0,5.7540000000000004
1979,,,345.0,5.792
1980,Australia,Oceania,350.0,5.83
1981,,,355.0,5.862
1982,,,360.0,5.894
1983,,,365.0,5.926
1984,,,370.0,5.958
1985,,,375.0,5.99
1986,,,380.0,6.022
1987,,,385.0,6.054
1988,,,390.0,6.086
1989,,,395.0,6.118
1990,Australia,Oceania,400.0,6.15
1991,,,405.0,6.178
1992,,,410.0,6.206
1993,,,415.0,6.234
1994,,,420.0,6.2620000000000005
1995,,,425.0,6.29
1996,,,430.0,6.318
1997,,,435.0,6.346
1998,,,440.0,6.374
1999,,,445.0,6.402
2000,Australia,Oceania,450.0,6.43
2001,,,453.0,6.427
2002,,,456.0,6.4239999999999995
2003,,,459.0,6.421
2004,,,462.0,6.418
2005,,,465.0,6.415
2006,,,468.0,6.412
2007,,,471.0,6.409
2008,,,474.0,6.406000000000001
2009,,,477.0,6.4030000000000005
2010,Australia,Oceania,480.0,6.4
2011,,,480.0,6.4
2012,,,480.0,6.4
2013,,,480.0,6.4
2014,,,480.0,6.4
2015,,,480.0,6.4
2016,,,480.0,6.4
2017,,,480.0,6.4
2018,,,480.0,6.4
2019,,,480.0,6.4
2020,,,480.0,6.4
1960,Brazil,South America,300.0,6.0
1961,,,310.0,6.127
1962,,,320.0,6.254
1963,,,330.0,6.381
1964,,,340.0,6.508
1965,,,350.0,6.635
1966,,,360.0,6.762
1967,,,370.0,6.888999999999999
1968,,,380.0,7.016
1969,,,390.0,7.143
1970,Brazil,South America,400.0,7.27
1971,,,410.0,7.3759999999999994
1972,,,420.0,7.481999999999999
1973,,,430.0,7.588
1974,,,440.0,7.694
1975,,,450.0,7.8
1976,,,460.0,7.906
1977,,,470.0,8.012
1978,,,480.0,8.118
1979,,,490.0,8.224
1980,Brazil,South America,500.0,8.33
1981,,,510.0,8.42
1982,,,520.0,8.51
1983,,,530.0,8.6
1984,,,540.0,8.69
1985,,,550.0,8.780000000000001
1986,,,560.0,8.870000000000001
1987,,,570.0,8.96
1988,,,580.0,9.05
1989,,,590.0,9.14
1990,Brazil,South America,600.0,9.23
1991,,,610.0,9.307
1992,,,620.0,9.384
1993,,,630.0,9.461
1994,,,640.0,9.538
1995,,,650.0,9.615
1996,,,660.0,9.692
1997,,,670.0,9.769
1998,,,680.0,9.846
1999,,,690.0,9.923
2000,Brazil,South America,700.0,10.0
2001,,,710.0,10.067
2002,,,720.0,10.134
2003,,,730.0,10.201
2004,,,740.0,10.268
2005,,,750.0,10.335
2006,,,760.0,10.402
2007,,,770.0,10.469
2008,,,780.0,10.536
2009,,,790.0,10.603
2010,Brazil,South America,800.0,10.67
2011,,,800.0,10.67
2012,,,800.0,10.67
2013,,,800.0,10.67
2014,,,800.0,10.67
2015,,,800.0,10.67
2016,,,800.0,10.67
2017,,,800.0,10.67
2018,,,800.0,10.67
2019,,,800.0,10.67
2020,,,800.0,10.67
1960,Canada,North America,600.0,12.0
1961,,,605.0,11.982
1962,,,610.0,11.964
1963,,,615.0,11.946
1964,,,620.0,11.928
1965,,,625.0,11.91
1966,,,630.0,11.892
1967,,,635.0,11.874
1968,,,640.0,11.856
1969,,,645.0,11.838000000000001
1970,Canada,North America,650.0,11.82
1971,,,655.0,11.805
1972,,,660.0,11.790000000000001
1973,,,665.0,11.775
1974,,,670.0,11.76
1975,,,675.0,11.745000000000001
1976,,,680.0,11.73
1977,,,685.0,11.715
1978,,,690.0,11.7
1979,,,695.0,11.685
1980,Canada,North America,700.0,11.67
1981,,,702.0,11.611
1982,,,704.0,11.552
1983,,,706.0,11.493
1984,,,708.0,11.434
1985,,,710.0,11.375
1986,,,712.0,11.316
1987,,,714.0,11.257
1988,,,716.0,11.198
1989,,,718.0,11.139
1990,Canada,North America,720.0,11.08
1991,,,721.0,11.015
1992,,,722.0,10.95
1993,,,723.0,10.885
1994,,,724.0,10.82
1995,,,725.0,10.754999999999999
1996,,,726.0,10.69
1997,,,727.0,10.625
1998,,,728.0,10.56
1999,,,729.0,10.495
2000,Canada,North America,730.0,10.43
2001,,,731.0,10.373999999999999
2002,,,732.0,10.318
2003,,,733.0,10.262
2004,,,734.0,10.206
2005,,,735.0,10.149999999999999
2006,,,736.0,10.094
2007,,,737.0,10.038
2008,,,738.0,9.982
2009,,,739.0,9.925999999999998
2010,Canada,North America,740.0,9.87
2011,,,740.0,9.87
2012,,,740.0,9.87
2013,,,740.0,9.87
2014,,,740.0,9.87
2015,,,740.0,9.87
2016,,,740.0,9.87
2017,,,740.0,9.87
2018,,,740.0,9.87
2019,,,740.0,9.87
2020,,,740.0,9.87
1960,China,Asia,800.0,16.0
1961,,,840.0,16.582
1962,,,880.0,17.164
1963,,,920.0,17.746
1964,,,960.0,18.328
1965,,,1000.0,18.91
1966,,,1040.0,19.492
1967,,,1080.0,20.074
1968,,,1120.0,20.656
1969,,,1160.0,21.238
1970,China,Asia,1200.0,21.82
1971,,,1280.0,22.971
1972,,,1360.0,24.122
1973,,,1440.0,25.273
1974,,,1520.0,26.424
1975,,,1600.0,27.575
1976,,,1680.0,28.726
1977,,,1760.0,29.877
1978,,,1840.0,31.028
1979,,,1920.0,32.179
1980,China,Asia,2000.0,33.33
1981,,,2200.0,36.150999999999996
1982,,,2400.0,38.972
1983,,,2600.0,41.793
1984,,,2800.0,44.614
1985,,,3000.0,47.435
1986,,,3200.0,50.256
1987,,,3400.0,53.077
1988,,,3600.0,55.897999999999996
1989,,,3800.0,58.719
1990,China,Asia,4000.0,61.54
1991,,,4200.0,63.957
1992,,,4400.0,66.374
1993,,,4600.0,68.791
1994,,,4800.0,71.208
1995,,,5000.0,73.625
1996,,,5200.0,76.042
1997,,,5400.0,78.459
1998,,,5600.0,80.87599999999999
1999,,,5800.0,83.29299999999999
2000,China,Asia,6000.0,85.71
2001,,,6400.0,90.472
2002,,,6800.0,95.234
2003,,,7200.0,99.996
2004,,,7600.0,104.75800000000001
2005,,,8000.0,109.52000000000001
2006,,,8400.0,114.28200000000001
2007,,,8800.0,119.04400000000001
2008,,,9200.0,123.80600000000001
2009,,,9600.0,128.568
2010,China,Asia,10000.0,133.33
2011,,,10000.0,133.33
2012,,,10000.0,133.33
2013,,,10000.0,133.33
2014,,,10000.0,133.33
2015,,,10000.0,133.33
2016,,,10000.0,133.33
